"filename", "language", "Markdown", "YAML", "C++", "JSON", "HTML", "Swift", "XML", "Dart", "Properties", "Groovy", "C", "comment", "blank", "total"
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\arm64-v8a\prefab_config.json", "JSON", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api\v1\reply\cache-v2-f35f3216a2f5748a74b1.json", "JSON", 0, 0, 0, -1367, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1368
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api\v1\reply\cmakeFiles-v1-4a85ce408ac693f552c4.json", "JSON", 0, 0, 0, -799, 0, 0, 0, 0, 0, 0, 0, 0, -1, -800
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api\v1\reply\codemodel-v2-00b8853fef1a3a231cf8.json", "JSON", 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, -1, -44
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api\v1\reply\index-2025-04-06T15-38-37-0854.json", "JSON", 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, -1, -93
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, -598, 0, 0, 0, 0, 0, 0, 0, 0, -64, -130, -792
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -610, -62, -132, -804
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\android_gradle_build.json", "JSON", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\android_gradle_build_mini.json", "JSON", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\prefab_config.json", "JSON", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api\v1\reply\cache-v2-05f13f55bcec870fde4d.json", "JSON", 0, 0, 0, -1367, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1368
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api\v1\reply\cmakeFiles-v1-5e1c3eb5ede09a2c5257.json", "JSON", 0, 0, 0, -799, 0, 0, 0, 0, 0, 0, 0, 0, -1, -800
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api\v1\reply\codemodel-v2-bb700728f493d16878c9.json", "JSON", 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, -1, -44
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api\v1\reply\index-2025-04-06T15-38-40-0307.json", "JSON", 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, -1, -93
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, -598, 0, 0, 0, 0, 0, 0, 0, 0, -64, -130, -792
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -610, -62, -132, -804
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\android_gradle_build.json", "JSON", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\android_gradle_build_mini.json", "JSON", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86\prefab_config.json", "JSON", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\.cmake\api\v1\reply\cache-v2-2105bdced1230d9635a2.json", "JSON", 0, 0, 0, -1367, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1368
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\.cmake\api\v1\reply\cmakeFiles-v1-126c75c9ad56315cb24c.json", "JSON", 0, 0, 0, -799, 0, 0, 0, 0, 0, 0, 0, 0, -1, -800
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\.cmake\api\v1\reply\codemodel-v2-90e935e2d6d21b255ce2.json", "JSON", 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, -1, -44
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\.cmake\api\v1\reply\index-2025-04-06T15-38-42-0527.json", "JSON", 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, -1, -93
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, -598, 0, 0, 0, 0, 0, 0, 0, 0, -64, -130, -792
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -610, -62, -132, -804
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\android_gradle_build.json", "JSON", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\android_gradle_build_mini.json", "JSON", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\1p5l685v\x86_64\prefab_config.json", "JSON", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\3f3a12l6\arm64-v8a\.cmake\api\v1\reply\cache-v2-ff9d653033a9de634620.json", "JSON", 0, 0, 0, -1347, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1348
"c:\Users\renren\Desktop\tonoreader\android\app\.cxx\Debug\3f3a12l6\arm64-v8a\.cmake\api\v1\reply\cmakeFiles-v1-d28f1df79bc7d382edf8.json", "JSON", 0, 0, 0, -184, 0, 0, 0, 0, 0, 0, 0, 0, -1, -185
